#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
    1.000000;   40.000000;    0.000000;    0.000000;   -0.039716;    0.117810;    0.000000;    0.330500;    0.998084;    0.000000;    1.345639;  533.166267;  894.565414;    0.005291
    2.000000;   52.000000;    0.000000;    0.000000;   -0.031871;    0.117810;    0.000000;   -0.005429;    0.145157;    0.000000;    0.143177;   34.317560;  115.837816;    0.001197
    3.000000;   40.500000;    0.000000;    0.000000;   -0.037643;    0.117810;    0.000000;    0.338314;    0.454190;    0.000000;    0.632882;  394.458008;  457.188026;    0.003298
    4.000000;   41.000000;    0.000000;    0.000000;   -0.036333;    0.117810;    0.000000;    0.215818;    0.346916;    0.000000;    0.439873;  266.879608;  337.850006;    0.002617
    5.000000;   41.500000;    0.000000;    0.000000;   -0.035485;    0.117810;    0.000000;    0.149134;    0.292314;    0.000000;    0.347250;  198.440304;  275.951218;    0.002164
    6.000000;   42.000000;    0.000000;    0.000000;   -0.034842;    0.117810;    0.000000;    0.115506;    0.260492;    0.000000;    0.298622;  162.784695;  241.273056;    0.001878
    7.000000;   42.500000;    0.000000;    0.000000;   -0.034330;    0.117810;    0.000000;    0.093272;    0.238884;    0.000000;    0.266924;  139.058308;  217.885990;    0.001713
    8.000000;   43.000000;    0.000000;    0.000000;   -0.033909;    0.117810;    0.000000;    0.077206;    0.223102;    0.000000;    0.244403;  121.869158;  200.850021;    0.001624
    9.000000;   43.500000;    0.000000;    0.000000;   -0.033558;    0.117810;    0.000000;    0.064853;    0.210947;    0.000000;    0.227418;  108.646669;  187.734940;    0.001581
   10.000000;   44.000000;    0.000000;    0.000000;   -0.033261;    0.117810;    0.000000;    0.054974;    0.201236;    0.000000;    0.214092;   98.075096;  177.254585;    0.001562
   11.000000;   44.500000;    0.000000;    0.000000;   -0.033008;    0.117810;    0.000000;    0.046842;    0.193261;    0.000000;    0.203326;   89.378086;  168.642822;    0.001550
   12.000000;   45.000000;    0.000000;    0.000000;   -0.032792;    0.117810;    0.000000;    0.039999;    0.186571;    0.000000;    0.194432;   82.065620;  161.413013;    0.001532
   13.000000;   45.500000;    0.000000;    0.000000;   -0.032608;    0.117810;    0.000000;    0.034141;    0.180863;    0.000000;    0.186953;   75.809996;  155.238750;    0.001502
   14.000000;   46.000000;    0.000000;    0.000000;   -0.032451;    0.117810;    0.000000;    0.029053;    0.175925;    0.000000;    0.180572;   70.382582;  149.891933;    0.001453
